Patient_Profile,average,average,average,average,average,compromised,compromised,compromised,compromised,compromised,elderly,elderly,elderly,elderly,elderly,young,young,young,young,young
Protocol,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard,adaptive,continuous,hyperthermia,immuno_combo,standard
Parameter,,,,,,,,,,,,,,,,,,,,
lambda2,0.345434701710691,0.06518258399189415,0.07836495063454121,0.1385048282330817,0.030164383116021765,0.09792697247420037,0.1696304848106168,0.12914972876717326,0.0993041200689119,0.18908728410862946,0.3306393857322165,0.059039294272579285,0.1878265518430645,0.08307212447060974,0.08315749586047506,0.2213777558794972,0.06233457431815044,0.09464514071156027,0.04709024871794682,0.16848536841891984
lambda_Q,0.2116258266602612,0.2368628387837084,0.060589641040858525,0.15761450102974905,0.057499837116121534,0.28886960968482644,0.08724731233253535,0.12602446835286163,0.06902942176525165,0.11221634685000786,0.18029943148436212,0.17525566345049448,0.13429935708286644,0.15658853762548486,0.08492972811224384,0.16936806751441538,0.19125062263989756,0.049088809469670425,0.10415946246142466,0.045108029378576206
lambda_R1,0.09904735819871098,0.05950289854470617,0.054747963280448085,0.14623196570689276,0.12272429185953124,0.06681762872563206,0.09860181508038168,0.0359620292775909,0.09772115928741022,0.1652044706682193,0.2973865230460159,0.18109227682333628,0.03843492635971266,0.08701980273531121,0.04439512425175739,0.06106994092523201,0.1737217476573821,0.07515962547028594,0.14189583174567175,0.06952145294216053
lambda_R2,0.27126956699123067,0.1182820297473138,0.06493809566817287,0.08570118027091964,0.09140251750837126,0.3540316280822256,0.1557140749567763,0.0752521281383165,0.04386013619062465,0.03577547157623811,0.08658281868917052,0.12174139931058336,0.07317012275316712,0.046192269990109294,0.05308176728754367,0.13928220283401105,0.14578385240678957,0.2217461015419443,0.05398772738741103,0.1269087291146139
liver_function,0.1741360114176509,0.2167874981028553,0.25040927124716506,0.06213328058170948,0.12468643942160491,0.2736945930345541,0.10610031628369915,0.07019507597296858,0.05180198588297439,0.1773150337553787,0.08440386972881346,0.18775637399338238,0.053689802851779544,0.07865390737195424,0.06636540940069456,0.10082393558208026,0.2860819792668723,0.050800523207565375,0.11523377310793131,0.04298775083658393
max_drug_effect,0.27647821397604483,0.2784705394600756,0.14061731687585435,0.06068007304147567,0.17675776533927812,0.14188352161430823,0.32702394234589144,0.1465767499370605,0.14903879139826084,0.17046481666659302,0.1689770764873535,0.20257090596276459,0.21693042352573955,0.048076298823845155,0.09345296879493824,0.48452315883934804,0.24204371066315852,0.1403969177121589,0.1377523725058275,0.15167480266785846
metabolic_switch_rate,0.08455246310447567,0.3272199873985208,0.047152835575692484,0.05218676378264659,0.08032360011433817,0.33897988895472164,0.12854917522221587,0.09715888160793551,0.058854945261521956,0.08636646634601633,0.23158988062736097,0.050954984048467905,0.06506700424734335,0.18588309546099346,0.04575723305127294,0.08602358318256823,0.12737053797730155,0.14920634980127948,0.12651251448999218,0.11701218154578452
microenv_stress_factor,0.3259806306404094,0.10307312061440119,0.1062488143846948,0.17616399386733744,0.04174874511925608,0.10014236017226817,0.18725165011469014,0.044321151485140715,0.06452339451741237,0.04131443202968777,0.10812391919386816,0.11517503620618277,0.10414326518868583,0.09178254172106753,0.06865732484978708,0.2591996281991726,0.07491271350315112,0.09319994880582126,0.12833924820500767,0.02716453646098655
mutation_rate,0.11230448897141368,0.23411200901190396,0.160722527712309,0.05130738713834465,0.02407618544103697,0.12583415827785405,0.12618987059236575,0.10191885887639486,0.05731428267672316,0.1055332084693548,0.15335588326684413,0.11643327366625932,0.15296085608855045,0.2734580492436955,0.05502636856179775,0.33835903878475115,0.13811766336758272,0.06218224409590289,0.05749993165609912,0.0642171930097974
omega_R1,0.08815737327680132,0.22335262830537245,0.03255375801829478,0.0748838212502747,0.0666607026817337,0.039112855511566395,0.23960349270328793,0.11621346535706137,0.08606363504092318,0.08415180382080452,0.48648837927430516,0.21012687804943878,0.14995716527239245,0.035092733650849486,0.10181818695396484,0.2014835333253942,0.16520565913054922,0.09949376236325108,0.10539161839476284,0.1323981835861531
omega_R2,0.31623730156095226,0.19505986864551267,0.06973940034177374,0.06632335085929848,0.05777342216382456,0.2649531911544519,0.054286107210903115,0.07714937685115694,0.04270538878878985,0.053290706744927044,0.1581342169874137,0.12823966427988534,0.06567894173510669,0.156351687306057,0.10324928405598557,0.09095501567700046,0.14747754370820446,0.13681290075834665,0.10814875186244768,0.10652363076733543
performance_status,0.2871610983094794,0.07954018707227907,0.07389011810667516,0.07465406785434997,0.07804552784854132,0.14601009400192796,0.16130177889249075,0.05389039239283227,0.04919920533946658,0.1327894464906434,0.3553657444672318,0.15983037729287086,0.14116956196126407,0.10827797708672848,0.07713065930837647,0.43505566684598024,0.16691948944741358,0.10941235519562018,0.08104572204209841,0.10187668258248063
phi1,0.401681112411732,0.20821180136435574,0.061058693511019946,0.12830092874286758,0.048114707771851895,0.1248664625080488,0.1276243254775889,0.08595010758545511,0.11985447664434466,0.11890793758918773,0.07869528706234283,0.1084205298543752,0.0819057790218361,0.04513363237257172,0.10369154175905991,0.047111612195488976,0.12676771258851352,0.15376694365649768,0.07515696246062041,0.09291729532903625
phi2,0.18432269573659582,0.1701146562564975,0.11256775370647701,0.07859727500108608,0.07802825663522642,0.21018296995860883,0.05268411018589875,0.10792844603277668,0.052251809486950004,0.10011698652140176,0.27057199589370134,0.11644255483334907,0.2222748603097493,0.050251834685888216,0.020866487822738245,0.16440801038763128,0.20011667779827116,0.10538284690464472,0.05135912445785283,0.05627697127293582
phi3,0.24154885671086573,0.2154192770872788,0.05602664202915206,0.07573270853846745,0.07807987312948002,0.10656387040544384,0.17249291316331344,0.08923054805574218,0.04116179710062606,0.10543009209441884,0.09168490146852937,0.1129393746949773,0.1464880942170862,0.09623941948195171,0.049723136298785955,0.21821514468067474,0.11196446097281887,0.12546066795260374,0.12973675664676854,0.1034313978316718
prior_treatment_factor,0.10109117805107615,0.11526973905977259,0.1138179496828648,0.16053924385132667,0.061576703947427286,0.11487121314679102,0.09908753955150104,0.09157469109572972,0.0819244955266372,0.17120244353972291,0.08307287770922277,0.07907494967985673,0.0738638363526781,0.07110084869410578,0.1228123184022201,0.3764796108940291,0.09562175878348753,0.07038277236631804,0.05892501173956677,0.1142743786128837
resistance_floor,0.10998420060710161,0.16308395000356288,0.04982112885714561,0.2894770619688575,0.16404501471692076,0.22655947765945464,0.11129617359474023,0.13630452351749034,0.01890771843775429,0.08752399742440074,0.1925648460408493,0.07968692653535707,0.06868168347306591,0.06328216002006352,0.06840542540013236,0.16990403596864256,0.08270010577580171,0.0543133106317016,0.14684850287262047,0.1093342768682838
rest_period_days,0.380894543984848,0.06743543156623101,0.13803869407563638,0.15075233180362985,0.030741761593817148,0.0978859369566372,0.1998422348577597,0.039982625358317446,0.1356384532554796,0.04963776662438875,0.30810562095635874,0.08635212682029232,0.13389537210086336,0.03772864326538625,0.11695550339592227,0.3461457532747306,0.07371209941553726,0.056625025054574514,0.07611769990272982,0.20315067563215983
treatment_active_days,0.14632583259135393,0.26667197335760373,0.07517946176497588,0.17161247256906553,0.13395048733536793,0.1877622084428001,0.18561948818217006,0.10772797004718372,0.14202733757759667,0.05926587383555756,0.12952028040812855,0.2391016236594865,0.07613059614061142,0.05249476862334957,0.08616868351495499,0.19656031485036424,0.0897813814148939,0.02906384871756671,0.1253213230896009,0.18933496675432804
treatment_cycle_period,0.14426061168271181,0.11403620073761936,0.08144670325997515,0.11126329070515761,0.07210220951547384,0.11893896680639843,0.07090313473242901,0.06886298536803419,0.043698273604230065,0.12313849967426366,0.26414811724522985,0.17264431770875818,0.08648945105687644,0.039529719783108846,0.063488844850851,0.07493828348194313,0.6232371389906429,0.07173851039953055,0.23852344913951007,0.04651835450473218
treatment_intensity,0.3309209461390553,0.11957386374678637,0.0671176895314865,0.09612471686779582,0.05565708178877348,0.33683640939866394,0.11076397258771001,0.1791860181007276,0.10767136869852614,0.057914051418081855,0.03402064943243165,0.1855009779466602,0.12644029672198012,0.1194044746457941,0.15651173591106793,0.5192557414723317,0.1141621051358635,0.15141232479856365,0.0754255456590593,0.06129447287242305
